Strain	Megaplasmid	Chromid	Either	Both	Overall
Achromobacter_denitrificans	0	0	0	0	0
Achromobacter_insolitus	0	0	0	0	0
Achromobacter_ruhlandii	0	0	0	0	0
Achromobacter_sp	0	0	0	0	0
Achromobacter_xylosoxidans	0	0	0	0	0
Acidovorax_avenae	0	0	0	0	0
Acidovorax_citrulli	0	0	0	0	0
Acidovorax_ebreus	0	0	0	0	0
Acidovorax_sp	0	0	0	0	0
Advenella_kashmirensis	0	0	0	0	0
Advenella_mimigardefordensis	0	0	0	0	0
Alcaligenes_faecalis	0	0	0	0	0
Alicycliphilus_denitrificans	0	0	0	0	0
Aquaspirillum_sp	0	0	0	0	0
Aromatoleum_aromaticum	0	0	0	0	0
Azoarcus_olearius	0	0	0	0	0
Azoarcus_sp	0	1	1	0	2
Basilea_psittacipulmonis	0	0	0	0	0
beta_proteobacterium	0	0	0	0	0
Betaproteobacteria_bacterium	0	0	0	0	0
blood_disease_bacterium	0	1	1	0	2
Bordetella_avium	0	0	0	0	0
Bordetella_bronchialis	0	0	0	0	0
Bordetella_bronchiseptica	0	0	0	0	0
Bordetella_flabilis	0	0	0	0	0
Bordetella_genomosp	0	0	0	0	0
Bordetella_hinzii	0	0	0	0	0
Bordetella_holmesii	0	0	0	0	0
Bordetella_parapertussis	0	0	0	0	0
Bordetella_pertussis	0	0	0	0	0
Bordetella_petrii	0	0	0	0	0
Bordetella_pseudohinzii	0	0	0	0	0
Bordetella_sp	0	0	0	0	0
Bordetella_trematum	0	0	0	0	0
Burkholderia_ambifaria	1	1	1	1	2
Burkholderia_cenocepacia	1	1	1	1	2
Burkholderia_cepacia	1	1	1	1	2
Burkholderia_contaminans	1	1	1	1	2
Burkholderia_diffusa	1	1	1	1	2
Burkholderia_dolosa	0	1	1	0	2
Burkholderia_gladioli	1	1	1	1	2
Burkholderia_glumae	0	1	1	0	2
Burkholderia_humptydooensis	0	0	0	0	0
Burkholderia_lata	1	1	1	1	2
Burkholderia_latens	1	1	1	1	2
Burkholderia_mallei	0	1	1	0	2
Burkholderia_metallica	1	1	1	1	2
Burkholderia_multivorans	1	1	1	1	2
Burkholderia_oklahomensis	0	1	1	0	2
Burkholderia_plantarii	0	1	1	0	2
Burkholderia_pseudomallei	1	1	1	1	2
Burkholderia_pseudomultivorans	0	1	1	0	2
Burkholderia_pyrrocinia	1	1	1	1	2
Burkholderia_seminalis	1	1	1	1	2
Burkholderia_sp	1	1	1	1	2
Burkholderia_stabilis	1	1	1	1	2
Burkholderia_stagnalis	0	1	1	0	2
Burkholderia_territorii	1	1	1	1	2
Burkholderia_thailandensis	1	1	1	1	2
Burkholderia_ubonensis	1	1	1	1	2
Burkholderia_vietnamiensis	1	1	1	1	2
Burkholderiales_bacterium	0	0	0	0	0
Candidatus_Accumulibacter_phosphatis	0	0	0	0	0
Candidatus_Kinetoplastibacterium_blastocrithidii	0	0	0	0	0
Candidatus_Kinetoplastibacterium_crithidii	0	0	0	0	0
Candidatus_Kinetoplastibacterium_desouzaii	0	0	0	0	0
Candidatus_Kinetoplastibacterium_galatii	0	0	0	0	0
Candidatus_Kinetoplastibacterium_oncopeltii	0	0	0	0	0
Candidatus_Methylopumilus_planktonicus	0	0	0	0	0
Candidatus_Methylopumilus_turicensis	0	0	0	0	0
Candidatus_Nasuia_deltocephalinicola	0	0	0	0	0
Candidatus_Profftella_armatura	0	0	0	0	0
