Strain	RepliconCount
Burkholderia_ambifaria_AMMD	3
Burkholderia_ambifaria_MC40_6	3
Burkholderia_cenocepacia_842	3
Burkholderia_cenocepacia_895	3
Burkholderia_cenocepacia_AU_1054	3
Burkholderia_cenocepacia_CR318	3
Burkholderia_cenocepacia_DDS_22E_1	3
Burkholderia_cenocepacia_DWS_37E_2	3
Burkholderia_cenocepacia_FL_5_3_30_S1_D7	2
Burkholderia_cenocepacia_GIMC4560_Bcn122	3
Burkholderia_cenocepacia_H111	3
Burkholderia_cenocepacia_HI2424	3
Burkholderia_cenocepacia_J2315	3
Burkholderia_cenocepacia_MC0_3	3
Burkholderia_cenocepacia_MSMB384WGS	3
Burkholderia_cenocepacia_ST32	3
Burkholderia_cenocepacia_VC12308	3
Burkholderia_cenocepacia_VC1254	3
Burkholderia_cenocepacia_VC12802	3
Burkholderia_cenocepacia_VC2307	3
Burkholderia_cenocepacia_VC7848	3
Burkholderia_cepacia_DDS_7H_2	3
Burkholderia_cepacia_FDAARGOS_345	3
Burkholderia_cepacia_FDAARGOS_388	3
Burkholderia_cepacia_GG4	2
Burkholderia_cepacia_INT3_BP177	2
Burkholderia_cepacia_JBK9	3
Burkholderia_cepacia_LO6	3
Burkholderia_cepacia_MSMB1184WGS	3
Burkholderia_cepacia_UCB_717	3
Burkholderia_contaminans_MS14	3
Burkholderia_diffusa_RF2_non_BP9	3
Burkholderia_dolosa_AU0158	3
Burkholderia_dolosa_PC543	3
Burkholderia_gladioli_ATCC_10248	2
Burkholderia_gladioli_BSR3	2
Burkholderia_gladioli_FDAARGOS_389	2
Burkholderia_gladioli_KACC_11889	2
Burkholderia_glumae_ATCC_33617	2
Burkholderia_glumae_BGR1	2
Burkholderia_glumae_PG1	2
Burkholderia_lata_383	3
Burkholderia_lata_FL_7_5_30_S1_D0	3
Burkholderia_latens_AU17928	3
Burkholderia_mallei_11	2
Burkholderia_mallei_2000031063	2
Burkholderia_mallei_2002721276	2
Burkholderia_mallei_2002734299	2
Burkholderia_mallei_2002734306	2
Burkholderia_mallei_23344	2
Burkholderia_mallei_6	2
Burkholderia_mallei_ATCC_23344	2
Burkholderia_mallei_Bahrain1	2
Burkholderia_mallei_BMQ	2
Burkholderia_mallei_FMH_23344	2
Burkholderia_mallei_FMH	2
Burkholderia_mallei_India86_567_2	2
Burkholderia_mallei_JHU	2
Burkholderia_mallei_KC_1092	2
Burkholderia_mallei_NCTC_10229	2
Burkholderia_mallei_NCTC_10247	2
Burkholderia_mallei_SAVP1	2
Burkholderia_mallei_Turkey10	2
Burkholderia_mallei_Turkey1	2
Burkholderia_mallei_Turkey2	2
Burkholderia_mallei_Turkey3	2
Burkholderia_mallei_Turkey4	2
Burkholderia_mallei_Turkey5	2
Burkholderia_mallei_Turkey6	2
Burkholderia_mallei_Turkey7	2
Burkholderia_mallei_Turkey8	2
Burkholderia_mallei_Turkey9	2
Burkholderia_metallica_FL_6_5_30_S1_D7	3
Burkholderia_multivorans_ATCC_17616	3
Burkholderia_multivorans_ATCC_BAA_247	3
Burkholderia_multivorans_AU1185	3
Burkholderia_multivorans_DDS_15A_1	3
Burkholderia_multivorans_MSMB1640WGS	3
Burkholderia_oklahomensis_C6786	2
Burkholderia_oklahomensis_EO147	2
Burkholderia_plantarii_ATCC_43733	2
