Strain	Burkholderiaceae
Achromobacter_denitrificans_PR1	0
Achromobacter_denitrificans_USDA_ARS_USMARC_56712	0
Achromobacter_insolitus_DSM_23807	0
Achromobacter_ruhlandii_SCCH3_ACH_33_1365	0
Achromobacter_sp_MFA1_R4	0
Achromobacter_xylosoxidans_A8	0
Achromobacter_xylosoxidans_C54	0
Achromobacter_xylosoxidans_FDAARGOS_147	0
Achromobacter_xylosoxidans_MN001	0
Achromobacter_xylosoxidans_NCTC10807	0
Achromobacter_xylosoxidans_NH44784_1996	0
Acidovorax_avenae_ATCC_19860	0
Acidovorax_citrulli_AAC00_1	0
Acidovorax_citrulli_KACC17005	0
Acidovorax_ebreus_TPSY	0
Acidovorax_sp_JS42	0
Acidovorax_sp_KKS102	0
Acidovorax_sp_NA2	0
Acidovorax_sp_NA3	0
Acidovorax_sp_P3	0
Acidovorax_sp_P4	0
Acidovorax_sp_RAC01	0
Acidovorax_sp_T1	0
Advenella_kashmirensis_WT001	0
Advenella_mimigardefordensis_DPN7	0
Alcaligenes_faecalis_BDB4	0
Alcaligenes_faecalis_DSM_30030	0
Alcaligenes_faecalis_JQ135	0
Alcaligenes_faecalis_P156	0
Alcaligenes_faecalis_ZD02	0
Alicycliphilus_denitrificans_BC	0
Alicycliphilus_denitrificans_K601	0
Aquaspirillum_sp_LM1	0
Aromatoleum_aromaticum_EbN1	0
Azoarcus_olearius_DQS4	0
Azoarcus_sp_BH72	0
Azoarcus_sp_CIB	0
Azoarcus_sp_KH32C	0
Basilea_psittacipulmonis_DSM_24701	0
Betaproteobacteria_bacterium_GR16_43	0
beta_proteobacterium_CB	1
blood_disease_A2_HR_MARDI	1
Bordetella_avium_197N	0
Bordetella_bronchialis_AU17976	0
Bordetella_bronchialis_AU3182	0
Bordetella_bronchiseptica_253	0
Bordetella_bronchiseptica_ATCC_10580	0
Bordetella_bronchiseptica_I328	0
Bordetella_bronchiseptica_MO149	0
Bordetella_bronchiseptica_RB50	0
Bordetella_bronchiseptica_S798	0
Bordetella_flabilis_AU10664	0
Bordetella_genomosp_AU14267	0
Bordetella_genomosp_AU17164	0
Bordetella_genomosp_AU19157	0
Bordetella_genomosp_AU22978	0
Bordetella_genomosp_AU7206	0
Bordetella_hinzii_F582	0
Bordetella_hinzii_H568	0
Bordetella_hinzii_NCTC13200	0
Bordetella_holmesii_44057	0
Bordetella_holmesii_ATCC_51541	0
Bordetella_holmesii_F627	0
Bordetella_holmesii_H558	0
Bordetella_holmesii_H903	0
Bordetella_parapertussis_12822	0
Bordetella_parapertussis_Bpp5	0
Bordetella_parapertussis_H904	0
Bordetella_pertussis_137	0
Bordetella_pertussis_18323	0
Bordetella_pertussis_B1838	0
Bordetella_pertussis_B1865	0
Bordetella_pertussis_B1917	0
Bordetella_pertussis_B201	0
Bordetella_pertussis_B202	0
Bordetella_pertussis_B203	0
Bordetella_pertussis_B226	0
Bordetella_pertussis_B227	0
Bordetella_pertussis_B3405	0
Bordetella_pertussis_B3582	0
Bordetella_pertussis_B3585	0
Bordetella_pertussis_B3621	0
Bordetella_pertussis_B3629	0
Bordetella_pertussis_B3640	0
Bordetella_pertussis_B3658	0
Bordetella_pertussis_B3913	0
Bordetella_pertussis_B3921	0
Bordetella_pertussis_C393	0
Bordetella_pertussis_C505	0
Bordetella_pertussis_C549	0
Bordetella_pertussis_C571	0
Bordetella_pertussis_C734	0
Bordetella_pertussis_C742	0
Bordetella_pertussis_C757	0
Bordetella_pertussis_C934	0
Bordetella_pertussis_C958	0
Bordetella_pertussis_C975	0
Bordetella_pertussis_CS	0
Bordetella_pertussis_D175	0
Bordetella_pertussis_D321	0
