Strain	RepliconType
NC_011001.1	1
NC_006349.2	1
NC_007650.1	1
NC_007435.1	1
NC_007511.1	1
NC_008061.1	1
NC_008784.1	1
NC_008835.1	1
NC_009075.1	1
NC_009078.1	1
NC_009255.1	1
NC_010086.1	1
NC_010515.1	1
NC_010552.1	1
NC_012721.2	1
NZ_CM000439.1	1
NC_015376.1	1
NZ_CM001157.1	1
NC_008391.1	1
NC_008543.1	1
NZ_HG938371.1	1
NC_017921.1	1
NC_018514.1	1
NC_018529.1	1
NC_021174.1	1
NC_021877.1	1
NC_022658.1	1
NZ_CM002278.1	1
NZ_CP004002.1	1
NZ_CP004004.1	1
NZ_CP004024.1	1
NZ_CP004043.1	1
NZ_CP004090.1	1
NZ_CP004098.1	1
NZ_CP004118.1	1
NZ_CP004369.1	1
NZ_CP013731.1	1
NZ_CP004384.1	1
NZ_CP007784.1	1
NZ_CP009210.1	1
NZ_CP009147.1	1
NZ_CP007786.1	1
NZ_CP009127.1	1
NZ_CP008710.1	1
NZ_CP008705.1	1
NZ_CP008722.1	1
NZ_CP008893.1	1
NZ_CP008912.1	1
NZ_CP008891.1	1
NZ_CP008910.1	1
NZ_CP008727.1	1
NZ_CP008729.1	1
NZ_CP008731.1	1
NZ_CP008783.1	1
NZ_CP008835.1	1
NZ_CP008782.1	1
NZ_CP008779.1	1
NZ_CP008778.1	1
NZ_CP009586.1	1
NZ_CP009898.1	1
NZ_CP007801.1	1
NZ_CP008917.1	1
NZ_CP004378.1	1
NZ_CP004386.1	1
NZ_CP007780.1	1
NZ_CP004382.1	1
NZ_CP009234.1	1
NZ_CP009269.1	1
NZ_CP009272.1	1
NZ_CP009150.1	1
NZ_CP009152.1	1
NZ_CP009160.1	1
NZ_CP009163.1	1
NZ_CP009164.1	1
NZ_CP009156.1	1
NZ_CM003020.1	1
NZ_CP002581.1	1
NZ_LK936443.1	1
NZ_CP010974.1	1
NZ_CP004380.1	1
NZ_CP009297.1	1
NZ_CP009338.1	1
NZ_CP009473.1	1
NZ_CP009484.1	1
NZ_CP009477.1	1
NZ_CP009486.1	1
NZ_CP009536.1	1
NZ_CP009537.1	1
NZ_CP009546.1	1
NZ_CP009548.1	1
NZ_CP009550.1	1
NZ_CP009556.1	1
NZ_CP009588.1	1
NZ_CP009602.1	1
NZ_CP009630.1	1
NZ_CP009643.1	1
NZ_CP009708.1	1
NZ_CP009793.1	1
NZ_CP009831.1	1
NZ_CP009943.1	1
NZ_CP010018.1	1
NZ_CP010066.1	1
NZ_CP009322.1	1
NZ_CP009434.1	1
NZ_CM003197.1	1
NZ_CM003195.1	1
NZ_CP011504.1	1
NZ_CP009744.1	1
NZ_CP012516.1	1
NZ_CP012518.1	1
NZ_CP012577.1	1
NZ_CP012042.1	1
NZ_CP012982.1	1
NZ_CP007213.1	1
NZ_CP011918.1	1
NZ_CP013382.1	1
NZ_CP013418.1	1
NZ_CP013425.1	1
NZ_CP013458.1	1
NZ_CP015034.1	1
NZ_CP016639.1	1
NZ_CP016637.1	1
NZ_CP013361.1	1
NZ_CP013363.1	1
NZ_CP013365.1	1
NZ_CP013371.1	1
NZ_CP013376.1	1
NZ_CP013377.1	1
NZ_CP013394.1	1
NZ_CP013396.1	1
NZ_CP013400.1	1
NZ_CP013403.1	1
NZ_CP013406.1	1
NZ_CP013410.1	1
NZ_CP013416.1	1
NZ_CP013422.1	1
NZ_CP013431.1	1
NZ_CP013438.1	1
NZ_CP013440.1	1
NZ_CP013444.1	1
NZ_CP013447.1	1
NZ_CP013449.1	1
NZ_CP013452.1	1
NZ_CP013455.1	1
NZ_CP013461.1	1
NZ_CP013464.1	1
NZ_CP013466.1	1
NZ_CP017176.1	1
NZ_CP016443.1	1
NZ_CP018055.1	1
NZ_CP016910.1	1
NZ_CP016912.1	1
NZ_CP017045.1	1
NZ_CP017047.1	1
NZ_CP017049.1	1
NZ_CP017051.1	1
NZ_CP017053.1	1
NZ_CP019672.1	1
NZ_CP019676.1	1
NZ_CP017239.1	1
NZ_CP020600.1	1
NZ_CP018375.1	1
NZ_CP018381.1	1
NZ_CP018392.1	1
NZ_CP018394.1	1
NZ_CP018404.1	1
NZ_CP018407.1	1
NZ_CP018411.1	1
NZ_CP018367.1	1
NZ_CP018374.1	1
NZ_CP018419.1	1
NZ_CP018386.1	1
NZ_CP018388.1	1
NZ_CP018390.1	1
NZ_CP018397.1	1
NZ_CP018398.1	1
NZ_CP018402.1	1
NZ_CP018409.1	1
NZ_CP018417.1	1
NZ_CP018370.1	1
NZ_CP018371.1	1
NZ_CP018382.1	1
NZ_CP018412.1	1
NZ_CP022006.1	1
NZ_CP022084.1	1
NZ_CP009726.1	1
NZ_CP010349.1	1
NZ_CP009728.1	1
NZ_CP009930.1	1
NZ_CP009730.1	1
NZ_CP009732.1	1
NZ_CP009734.1	1
NZ_CP009736.1	1
NZ_CP009738.1	1
NZ_CP009740.1	1
NZ_CP009742.1	1
NZ_CP009932.1	1
NZ_AP018112.1	1
NZ_CP023498.1	1
NZ_CP023523.1	1
NZ_CP023521.1	1
NZ_CP009745.1	2
NC_007509.1	2
NZ_CP016444.1	2
NZ_CP013732.1	2
